SessionID,UserID,UserName,StepIndex,InteractionType,ObjectName,RelativeTime,StartTime,EndTime,Duration,InteractionInterval,ObjectPosX,ObjectPosY,ObjectPosZ,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftHandPosX,LeftHandPosY,LeftHandPosZ,LeftHandRotX,LeftHandRotY,LeftHandRotZ,LeftHandRotW,RightHandPosX,RightHandPosY,RightHandPosZ,RightHandRotX,RightHandRotY,RightHandRotZ,RightHandRotW,GazeDirX,GazeDirY,GazeDirZ,DistanceToObject,HeadVelocity,LeftHandVelocity,RightHandVelocity,SpeedTier
2772,13,Sundas,42,HeadPick,HeadTask,190.8666,190.8666,190.8666,0,0.033661,0.811973,1.821212,2.526552,0.137648,1.641592,-0.505451,-0.044145,0.098147,0.01585,0.994066,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.19373,0.090878,0.976837,3.111274,0.082559,0,0,slow
2772,13,Sundas,43,HeadBurst,HeadTask,191.0346,190.833,191.0346,0.201599,0.167938,0.836126,1.698487,2.527297,0.138695,1.638496,-0.503735,-0.020814,0.102879,0.012793,0.994394,0,0,0,0,0,0,1,0.302619,-0.498161,-0.204193,-0.383365,-0.148437,0.034735,0.910929,0.204072,0.044026,0.977965,3.110815,0.108079,0,18.08315,slow
2772,13,Sundas,44,HeadBurst,HeadTask,191.0667,190.8666,191.0667,0.200104,0.032166,0.843957,1.672014,2.526365,0.138755,1.637548,-0.502968,-0.015929,0.104267,0.01216,0.994347,0,0,0,0,0,0,1,0.322855,-0.484714,-0.211403,-0.383365,-0.148437,0.034735,0.910929,0.206969,0.034214,0.977749,3.110523,0.037949,19.19142,0.787547,slow
2772,13,Sundas,45,HeadBurst,HeadTask,191.2681,190.833,191.2681,0.435089,0.201325,0.869097,1.453605,2.521494,0.140599,1.633074,-0.495872,0.018841,0.106727,0.00909,0.994068,0,0,0,0,0,0,1,0.324945,-0.463949,-0.250008,-0.431466,-0.261774,0.29694,0.810641,0.212531,-0.035518,0.976509,3.109247,0.250503,18.06953,1.279858,slow
2772,13,Sundas,46,HeadBurst,HeadTask,191.4999,190.833,191.4999,0.666901,0.231812,0.808329,1.199912,2.520918,0.140343,1.627626,-0.486206,0.058048,0.093586,0.006704,0.993895,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.186807,-0.114132,0.975744,3.109974,0.331808,18.51029,18.51029,slow
2772,13,Sundas,47,HeadBurst,HeadTask,191.9008,190.833,191.9008,1.06781,0.400909,0.645593,1.349704,2.583843,0.138126,1.632244,-0.473203,0.028905,0.066112,0.003316,0.997388,0,0,0,0,0,0,1,0.3231,-0.474819,-0.244919,-0.418809,-0.280975,0.282377,0.816036,0.13207,-0.05722,0.989588,3.111733,0.412392,0,18.4241,medium
2772,13,Sundas,48,HeadBurst,HeadTask,192.3339,190.833,192.3339,1.500885,0.433075,0.612935,1.2048,2.586628,0.143202,1.629755,-0.460814,0.052983,0.068413,-0.011853,0.996179,0,0,0,0,0,0,1,0.315676,-0.479582,-0.240353,-0.421279,-0.279675,0.255555,0.824013,0.135048,-0.107182,0.985025,3.112578,0.408179,18.71508,0.297716,medium
2772,13,Sundas,49,HeadPlace,HeadTarget2,235.0667,190.8666,235.0667,44.2001,42.73288,0.8,0.8,2.5,0.461449,1.62463,-0.515124,0.107511,0.049396,-0.055973,0.991397,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.085907,-0.218702,0.972003,3.144138,9.663767,18.62878,18.62878,fast
2772,13,Sundas,50,HeadPick,HeadTask,235.1012,235.1012,235.1012,0,0.034485,0.784205,0.835943,2.47717,0.461347,1.624762,-0.516332,0.110219,0.04962,-0.055804,0.991098,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.086055,-0.224014,0.970779,3.11248,0.035339,0,0,slow
2772,13,Sundas,51,HeadBurst,HeadTask,235.2672,235.0667,235.2672,0.200409,0.165924,0.788441,0.751162,2.457192,0.46277,1.621762,-0.514512,0.12787,0.050682,-0.058143,0.988787,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.085358,-0.258766,0.962161,3.113684,0.112582,0,0,slow
